,headline,excerpt,share_text
332,banned front row oprah wrong eye color really,They couldn't figure out why she was treating them this way. ,Wow. Okay. 
333,banned front row oprah wrong eye color really,They couldn't figure out why she was treating them this way. ,I don't blame them for not liking it. 
334,happens try kill survive,,"David Phillips, a researcher who studies suicide said, ""Think of a suicide story as a kind of commercial. If you make the product attractive, people will want it."" 

This is how unattractive suicide attempts can be."
335,happens try kill survive,"She so happy now, but just a few years ago she lost both her legs in a suicide attempt.","David Phillips, a researcher who studies suicide said, ""Think of a suicide story as a kind of commercial. If you make the product attractive, people will want it."" 

Here is how unattractive suicide attempts can be."
336,happens try kill survive,"I'm glad she ended up ok, but surviving an attempt doesn't rarely turns out this pretty.","David Phillips, a researcher who studies suicide said, ""Think of a suicide story as a kind of commercial. If you make the product attractive, people will want it."" 

Here is how unattractive suicide attempts can be."
337,goes school gets picked mom oh saves lives maybe even,And he's HOW old!?,Now that's beyond impressive. 
338,goes school gets picked mom oh saves lives maybe even,And he's HOW old!?,He can't bring his friend back but he vowed to help stop it happening to other people. 
339,guy gets stood date leaves us lesson pros cons wine,"I'm still gonna drink wine, but I might do it a bit differently.",Nobody's gonna tell me how to drink my wine. Except maybe this guy. 
340,one woman speaks honestly privilege noticed skin color,"""Why does it always have to go back to race?!"" — Female, White, 25-54",
341,people really hard time admitting admits,"""Why does it always have to go back to race?!"" — Female, White, 25-54",
342,celebrity spends minutes talking think death beautiful,,
343,year old asks neil degrasse tyson adorable question gives awesome answer,"""Next time tell your parents that Dr. Neil deGrasse Tyson said to let you jump in the puddle.""","Cutetacular 6-year-old: ""How can first graders help the earth?"""
344,new york la san francisco really annoying thing common,,
345,give homeless people homes still homeless daily show reporter wants know,,
346,asks question times believe city solved homelessness,,
347,ladies much fun epicenter disaster,It all makes sense now.,
348,siblings stuck foster care system find beautiful ways get back together,Stuff that matters. Pass it on.,
349,brother sister live different homes see time thanks,Stuff that matters. Pass it on.,
350,brother sister got split foster system folks trying help,Stuff that matters. Pass it on.,
351,stuff siblings foster care system deal awful glad getting help,Stuff that matters. Pass it on.,
352,gave boy girl notebooks asked draw feelings came straight,,
353,gave boy girl notebooks asked draw feelings came straight,,
